Site,Species,mean_Cover_CW,sd_Cover_CW,cv_Cover_CW,mean_H_CW,sd_H_CW,cv_H_CW,mean_Cover_N,sd_Cover_N,cv_Cover_N,mean_H_N,sd_H_N,cv_H_N,mean_C_Forbs,sd_C_Forbs,cv_C_Forbs,mean_C_SD,sd_C_SD,cv_C_SD,mean_C_Litter,sd_C_Litter,cv_C_Litter,mean_C_BG,sd_C_BG,cv_C_BG,mean_C_Shrub,sd_C_Shrub,cv_C_Shrub,mean_C_Shrub_2,sd_C_Shrub_2,cv_C_Shrub_2,mean_H_Shrub,sd_H_Shrub,cv_H_Shrub,mean_H_Shrub_2,sd_H_Shrub_2,cv_H_Shrub_2,mean_C_Moss,sd_C_Moss,cv_C_Moss,mean_LAI,sd_LAI,cv_LAI,mean_B_Crested_m2,sd_B_Crested_m2,cv_B_Crested_m2,mean_B_Native_m2,sd_B_Native_m2,cv_B_Native_m2,mean_B_Grass_m2,sd_B_Grass_m2,cv_B_Grass_m2,mean_B_Dead_m2,sd_B_Dead_m2,cv_B_Dead_m2,mean_B_Forbs_m2,sd_B_Forbs_m2,cv_B_Forbs_m2,mean_B_Shrub_m2,sd_B_Shrub_m2,cv_B_Shrub_m2,mean_B_Total_m2,sd_B_Total_m2,cv_B_Total_m2,mean_Wet_Biomas_m2,sd_Wet_Biomas_m2,cv_B_Biomas_m2,mean_Moisture_m2,sd_Moisture_m2,cv_Moisture_m2
C1,Crested Wheatgrass,48.125,14.86546813,30.88928444,46.375,6.523309852,14.06643634,NA,NA,NA,NA,NA,NA,0,0,NA,9.375,4.172614802,44.50789122,41.25,11.87734939,28.79357428,0,0,NA,2.5,4.629100499,185.16402,0,0,NA,23.5,2.121320344,9.026895079,NA,NA,NA,0,0,NA,2.84625,1.420140209,49.89513252,237.5,158.7314294,66.83428605,NA,NA,NA,237.5,158.7314294,66.83428605,149,39.52214569,26.52492999,0,0,NA,39.75,79.5,200,426.25,187.9279561,44.08867004,1149,406.9864863,35.42093005,722.75,300.1848042,41.53369826
C11,Crested Wheatgrass,41.25,9.161253813,22.20910015,35.625,4.47013902,12.54775865,NA,NA,NA,NA,NA,NA,0,0,NA,5,2.672612419,53.45224838,52.5,10,19.04761905,1.25,3.535533906,282.8427125,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.63375,0.258232315,15.80610957,133,21.18175315,15.92613019,NA,NA,NA,133,21.18175315,15.92613019,96.75,13.93735986,14.40553991,0,0,NA,0,0,NA,229.75,24.85122398,10.81663721,656,121.1940593,18.47470416,426.25,98.98947756,23.22333784
C12,Crested Wheatgrass,27.5,7.55928946,27.48832531,37.625,3.852179346,10.23835042,NA,NA,NA,NA,NA,NA,4,4.242640687,106.0660172,8.75,2.314550249,26.45200285,53.5,8.831760866,16.50796424,5.625,4.955156045,88.09166302,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.625,1.767766953,282.8427125,1.2625,0.232486559,18.41477693,140.25,16.15291511,11.51723003,NA,NA,NA,140.25,16.15291511,11.51723003,142.75,74.95943347,52.51098667,0,0,NA,32.25,64.5,200,315.25,83.83068253,26.59181048,599.75,108.6320241,18.11288439,284.5,37.61648575,13.22196336
C13,Crested Wheatgrass,25.625,10.50085031,40.97892802,43.125,4.389516732,10.17858952,NA,NA,NA,NA,NA,NA,0,0,NA,25.625,10.50085031,40.97892802,43.125,4.389516732,10.17858952,13.75,6.943650748,50.49927817,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.23875,0.480399759,38.78100982,119,29.43920289,24.73882596,NA,NA,NA,119,29.43920289,24.73882596,175.5,19.9081223,11.34365943,0,0,NA,0,0,NA,294.5,26.88865932,9.130274811,566,96.97766066,17.13386231,271.5,74.50055928,27.44035333
C15,Crested Wheatgrass,35,7.55928946,21.59796989,42.5,5.976143047,14.06151305,NA,NA,NA,NA,NA,NA,1.5,2.267786838,151.1857892,6.875,3.720119046,54.11082248,54.75,9.207915849,16.81811114,1.875,3.720119046,198.4063491,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.735,0.468554007,27.00599462,168.75,47.40165257,28.08986819,NA,NA,NA,168.75,47.40165257,28.08986819,157.25,53.30650367,33.89920742,0,0,NA,0,0,NA,326,77.71314775,23.83838888,668,148.6360208,22.25090131,342,79.76214641,23.32226503
C19,Crested Wheatgrass,33.125,14.86546813,44.87688493,30.875,3.313931631,10.7333818,NA,NA,NA,NA,NA,NA,4.875,8.806450558,180.6451396,6.875,4.580626907,66.62730046,54.5,14.37259297,26.37173021,0.625,1.767766953,282.8427125,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.11875,0.120289829,10.75216345,55,20.4450483,37.17281509,NA,NA,NA,55,20.4450483,37.17281509,140,90.66789215,64.76278011,6.25,7.228416147,115.6546584,0,0,NA,201.25,81.97713096,40.73397812,484.5,225.7882489,46.60232175,283.25,145.8706619,51.49890976
C2,Crested Wheatgrass,44.375,13.47948176,30.37629693,38.75,4.713203339,12.16310539,NA,NA,NA,NA,NA,NA,0,0,NA,10,5.976143047,59.76143047,40,17.32050808,43.30127019,0,0,NA,5.625,15.90990258,282.8427125,0,0,NA,42,NA,NA,NA,NA,NA,0,0,NA,2.03875,1.020188183,50.03988635,187.75,63.51574608,33.82995796,NA,NA,NA,187.75,63.51574608,33.82995796,292.75,96.64151972,33.01162074,0,0,NA,46,92,200,526.5,236.1715478,44.85689417,937.25,371.5044863,39.63771526,410.75,142.7827604,34.76147545
C20,Crested Wheatgrass,42.5,15.35298947,36.12468111,43.125,4.940720017,11.45674207,NA,NA,NA,NA,NA,NA,3.75,5.824823725,155.3286327,16.25,3.535533906,21.75713173,37.5,11.0194633,29.38523547,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.87125,0.513765858,27.45575729,135.5,32.10918872,23.69681824,NA,NA,NA,135.5,32.10918872,23.69681824,287,88.72804893,30.91569649,2.75,3.201562119,116.4204407,0,0,NA,425.25,118.9968487,27.98279805,802.5,205.2599977,25.57756981,377.25,87.12586681,23.09499451
C3,Crested Wheatgrass,50,10.69044968,21.38089935,41.625,3.889087297,9.343152664,NA,NA,NA,NA,NA,NA,0,0,NA,10,3.77964473,37.7964473,40,12.24744871,30.61862178,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.89625,0.849839271,44.81683694,130.25,24.54078238,18.84129166,NA,NA,NA,130.25,24.54078238,18.84129166,305.5,46.39324663,15.18600545,0,0,NA,0,0,NA,435.75,54.63439088,12.53801282,722.25,94.55642055,13.09192392,286.5,54.05244367,18.86647249
C4,Crested Wheatgrass,35,14.63850109,41.82428884,38.875,6.197637799,15.94247665,NA,NA,NA,NA,NA,NA,0,0,NA,9.375,4.172614802,44.50789122,55.625,15.68381787,28.19562762,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.295,0.420645762,32.48229823,109.5,53.01886457,48.4190544,NA,NA,NA,109.5,53.01886457,48.4190544,136.5,19.20937271,14.07280052,0,0,NA,0,0,NA,246,63.69196705,25.89104352,414.5,178.9031395,43.16119168,168.5,116.2712346,69.00370007
C5,Crested Wheatgrass,41.875,5.938674696,14.18190972,39.75,3.9551052,9.949950189,NA,NA,NA,NA,NA,NA,0.625,1.767766953,282.8427125,11.875,3.720119046,31.32731828,43.125,8.838834765,20.49584873,2.5,2.672612419,106.9044968,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.75375,0.416582611,23.75381956,174.75,52.36649692,29.96652184,NA,NA,NA,174.75,52.36649692,29.96652184,226,126.4093878,55.93335745,0.75,1.5,200,0,0,NA,401.5,172.5891074,42.98607906,727,295.6123588,40.66194756,325.5,125.1146141,38.43766947
C6,Crested Wheatgrass,43.125,7.039429766,16.3233154,43.75,7.421012638,16.9623146,NA,NA,NA,NA,NA,NA,5.625,12.37436867,219.9887764,14.375,9.038607668,62.87727073,31.875,18.31032106,57.44414449,0.625,1.767766953,282.8427125,4.375,8.210402809,187.6663499,0,0,NA,31.5,0.707106781,2.244783432,NA,NA,NA,0,0,NA,1.76,0.448457674,25.48054968,133.75,53.29399591,39.84597825,NA,NA,NA,133.75,53.29399591,39.84597825,218.5,30.21588986,13.82878254,5.75,11.5,200,19.25,38.5,200,377.25,66.27908167,17.56900773,826.5,233.2116349,28.21677374,449.25,168.1712916,37.43378779
C7,Crested Wheatgrass,53.75,5.824823725,10.83688135,44.125,6.770471602,15.34384499,NA,NA,NA,NA,NA,NA,0,0,NA,8.75,5.175491695,59.14847652,33.75,10.93813774,32.409297,3.75,4.432026302,118.1873681,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2.22375,0.68743701,30.91341248,234.25,56.07955658,23.9400455,NA,NA,NA,234.25,56.07955658,23.9400455,201,108.6339419,54.04673727,0,0,NA,0,0,NA,435.25,145.0204009,33.31887441,1204.5,353.0679821,29.3124103,769.25,229.4462537,29.8272673
N10,Native grass,NA,NA,NA,NA,NA,NA,28.125,5.938674696,21.11528781,26.25,1.752549164,6.676377767,0,0,NA,18.75,3.535533906,18.85618083,51.875,6.512350903,12.55392945,1.25,2.314550249,185.16402,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.43625,0.455598116,31.72136574,NA,NA,NA,97.75,18.71496727,19.14574657,97.75,18.71496727,19.14574657,181.75,74.03321327,40.73354238,0,0,NA,0,0,NA,279.5,87.34033051,31.24877657,628.25,181.909089,28.95488882,348.75,94.5916663,27.12305844
N13,Native grass,NA,NA,NA,NA,NA,NA,27.5,8.017837257,29.15577184,22.375,2.199837656,9.831676676,8.125,8.42509008,103.6934164,9.375,3.204349722,34.17973037,48.75,5.175491695,10.61639322,5,4.629100499,92.58200998,1.25,3.535533906,282.8427125,0,0,NA,15,NA,NA,NA,NA,NA,0,0,NA,0.8675,0.413754586,47.6950531,NA,NA,NA,84.75,24.71672848,29.16428139,84.75,24.71672848,29.16428139,171.75,62.54265211,36.41493573,15.5,11.2398102,72.51490452,13.5,27,200,285.5,87.70594811,30.72012193,560.75,179.6002506,32.0285779,275.25,97.42133579,35.39376414
N14,Native grass,NA,NA,NA,NA,NA,NA,17.5,2.672612419,15.27207097,26.625,1.846811925,6.936382816,8.75,5.175491695,59.14847652,8.75,2.314550249,26.45200285,60,5.976143047,9.960238411,3.125,3.720119046,119.0438095,1.875,2.587745848,138.0131119,0,0,NA,10,0,0,NA,NA,NA,0,0,NA,1.01125,0.183804049,18.17592577,NA,NA,NA,126.75,42.83592729,33.79560338,126.75,42.83592729,33.79560338,199.25,79.39091048,39.84487352,3.75,3.774917218,100.6644591,25,50,200,354.75,135.6229455,38.23056954,595.25,192.7889606,32.38789762,240.5,93.9946807,39.08302732
N15,Native grass,NA,NA,NA,NA,NA,NA,23.75,8.345229604,35.13780886,23.375,2.326094213,9.951205187,1.25,2.314550249,185.16402,6.875,2.587745848,37.6399396,58.125,9.613049167,16.53857921,10,5.345224838,53.45224838,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1.03,0.162304828,15.75775028,NA,NA,NA,88.5,14.05939781,15.8863252,88.5,14.05939781,15.8863252,57.25,44.59727196,77.899165,0.75,1.5,200,0,0,NA,146.5,35.29400327,24.09146981,309.5,52.86775955,17.08166706,163,38.27967259,23.48446171
N16,Native grass,NA,NA,NA,NA,NA,NA,22.5,10.35098339,46.00437062,24.125,2.416461403,10.01642033,8.375,4.897156609,58.47351175,4.375,3.204349722,73.24227937,47.25,12.94769698,27.4025333,12.5,8.864052604,70.91242083,5.25,6.902380542,131.4739151,0,0,NA,23.2,2.049390153,8.833578247,NA,NA,NA,0,0,NA,0.97,0.253996625,26.18521911,NA,NA,NA,55.75,19.61929323,35.19155736,55.75,19.61929323,35.19155736,52,20.68816087,39.78492474,5.75,2.986078811,51.93180541,9,18,200,122.5,35.31288717,28.82684667,254.5,61.01639124,23.97500638,132,43.2280773,32.74854341
N3,Native grass,NA,NA,NA,NA,NA,NA,23.75,7.90569415,33.28713326,18.125,4.12093956,22.73621826,11.875,5.938674696,50.00989218,11.875,4.580626907,38.57370027,35.625,13.99936223,39.29645538,11.25,5.175491695,46.00437062,5.625,15.90990258,282.8427125,0,0,NA,20,NA,NA,NA,NA,NA,0,0,NA,1.02,0.341425583,33.47309635,NA,NA,NA,44.5,7.937253933,17.83652569,44.5,7.937253933,17.83652569,178.5,78.15156215,43.78238776,11.25,7.93200269,70.50669057,8.75,17.5,200,243,84.20609637,34.65271456,419,120.8994072,28.8542738,176,37.37200378,21.23409306
N4,Native grass,NA,NA,NA,NA,NA,NA,21.875,6.512350903,29.77074699,20.125,3.603074084,17.90347371,12.5,11.0194633,88.1557064,5.25,5.119988839,97.52359694,46,8.246211251,17.9265462,8.125,7.989949043,98.33783438,6.25,17.67766953,282.8427125,0,0,NA,9,NA,NA,12,NA,NA,0,0,NA,0.79,0.247790234,31.36585239,NA,NA,NA,68.5,14.47987109,21.13849794,68.5,14.47987109,21.13849794,125,54.3261754,43.46094032,9.75,6.130524719,62.87717661,0,0,NA,203.25,62.5533106,30.77653658,378,83.33466666,22.04620811,174.75,28.28869032,16.18809174
N5,Native grass,NA,NA,NA,NA,NA,NA,20.625,8.210402809,39.80801362,17.25,3.654742516,21.18691314,20.625,7.288689869,35.33910239,8.75,2.314550249,26.45200285,35,7.55928946,21.59796989,13.75,5.824823725,42.36235436,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.89625,0.333592459,37.22091591,NA,NA,NA,37.5,19.9081223,53.08832612,37.5,19.9081223,53.08832612,79,12.54325848,15.87754238,41,24.72515588,60.30525825,0,0,NA,157.5,19.67231557,12.49035909,340,56.39739947,16.58747043,182.5,44.33583953,24.2936107
